Person_ID,Income,Income Group,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Rent % of Income
PID_00957,"₹39,463.56",Middle,51,4,Retired,Tier_2,"₹7,892.71","₹2,642.63","₹1,427.21","₹5,279.75","₹2,518.25","₹1,177.06","₹1,907.67","₹2,206.29","₹1,287.72","₹3,482.30","₹1,141.36",5.94%,"₹2,345.13","₹8,500.62",₹595.81,₹128.55,₹200.04,₹311.08,₹618.22,₹18.70,₹87.57,₹265.62,20.00%
PID_00958,"₹43,232.82",Middle,50,3,Retired,Tier_2,"₹8,646.56",₹0.00,₹895.68,"₹5,950.25","₹2,965.76","₹1,780.76","₹1,194.69","₹2,909.76","₹1,478.31","₹2,605.67",₹708.07,13.57%,"₹5,864.56","₹14,097.31",₹592.36,₹711.97,₹174.03,₹185.69,₹234.50,₹70.73,₹32.92,₹169.61,20.00%
PID_00959,"₹47,323.70",Middle,33,3,Professional,Tier_2,"₹9,464.74","₹7,636.50","₹1,694.39","₹5,926.83","₹3,052.98","₹1,786.63","₹1,202.92","₹2,448.17","₹1,544.95","₹4,575.54",₹875.89,11.48%,"₹5,434.35","₹7,114.17",₹870.96,₹212.59,₹375.85,₹94.52,₹698.22,₹6.09,₹34.83,₹218.99,20.00%
PID_00960,"₹42,921.13",Middle,46,2,Retired,Tier_2,"₹8,584.23",₹0.00,"₹2,088.21","₹4,414.46","₹3,377.21","₹1,991.33","₹1,446.77","₹2,395.69","₹1,333.74","₹2,675.24",₹478.25,12.21%,"₹5,241.34","₹14,136.00","₹1,264.77",₹754.13,₹486.23,₹132.67,₹430.64,₹23.36,₹36.74,₹135.08,20.00%
PID_00961,"₹50,167.91",Middle,35,3,Student,Tier_1,"₹15,050.37","₹8,417.10","₹1,247.18","₹7,026.94","₹3,796.32","₹1,709.70","₹2,494.23","₹3,411.77","₹2,498.66","₹4,523.61","₹1,127.25",14.86%,₹0.00,N/A,"₹1,404.30",₹900.92,₹110.74,₹545.65,₹310.25,₹114.24,₹204.00,₹211.33,30.00%
PID_00962,"₹86,879.27",High,44,3,Retired,Tier_2,"₹17,375.85","₹9,241.09","₹2,522.05","₹12,432.15","₹6,325.07","₹2,970.11","₹1,930.87","₹4,773.02","₹4,043.83","₹6,651.89","₹1,683.02",13.48%,"₹11,708.76","₹16,930.31","₹3,688.45",₹603.05,₹341.84,₹265.27,₹723.66,₹120.62,₹245.51,₹304.26,20.00%
PID_00963,"₹35,107.48",Middle,24,0,Student,Tier_2,"₹7,021.50",₹0.00,₹942.80,"₹5,074.78","₹1,861.69",₹817.78,"₹1,570.49","₹2,179.65","₹1,316.27",₹0.00,₹408.95,9.54%,"₹3,348.54","₹13,913.59",₹804.35,₹547.57,₹236.78,₹329.83,₹345.57,₹1.46,₹0.00,₹113.72,20.00%
PID_00964,"₹52,899.84",Middle,53,2,Retired,Tier_3,"₹7,934.98",₹0.00,"₹1,407.63","₹7,605.75","₹3,395.94","₹1,142.62","₹1,579.35","₹2,393.41","₹2,331.41","₹4,859.06","₹1,059.27",14.81%,"₹7,835.29","₹19,190.42","₹1,255.86",₹498.72,₹182.03,₹412.20,₹260.22,₹63.37,₹163.30,₹265.13,15.00%
PID_00965,"₹27,921.83",Low,44,1,Self_Employed,Tier_3,"₹4,188.27","₹5,066.77",₹623.15,"₹3,844.61","₹1,909.60",₹933.32,₹924.98,"₹1,723.10","₹1,139.38","₹2,091.84",₹628.95,6.38%,"₹1,782.21","₹4,847.86",₹711.24,₹438.40,₹191.85,₹94.66,₹182.42,₹15.69,₹13.73,₹70.12,15.00%
PID_00966,"₹94,944.37",High,27,1,Professional,Tier_1,"₹28,483.31","₹7,573.27","₹3,227.46","₹11,467.56","₹4,998.99","₹3,424.23","₹3,987.27","₹4,453.13","₹3,265.44","₹6,075.84","₹1,385.37",13.42%,"₹12,742.62","₹16,602.50","₹2,094.35",₹527.89,₹580.82,₹843.24,₹554.38,₹112.18,₹205.27,₹135.71,30.00%
PID_00967,"₹17,462.99",Low,27,4,Self_Employed,Tier_2,"₹3,492.60","₹2,473.09",₹778.03,"₹1,903.28","₹1,350.60",₹422.94,₹565.99,"₹1,279.47",₹729.79,"₹1,129.84",₹244.43,5.55%,₹968.73,"₹3,092.94",₹556.53,₹290.18,₹22.77,₹168.06,₹321.71,₹5.77,₹33.37,₹49.21,20.00%
PID_00968,"₹126,716.17",High,28,0,Student,Tier_2,"₹25,343.23","₹14,231.33","₹3,446.91","₹13,505.63","₹7,155.80","₹5,888.12","₹3,409.89","₹6,801.78","₹5,402.64",₹0.00,"₹2,472.33",24.63%,"₹31,204.99","₹39,058.51",₹894.52,"₹1,610.45","₹1,676.48",₹298.06,"₹1,960.99",₹145.72,₹0.00,₹353.43,20.00%
PID_00969,"₹29,051.53",Low,47,2,Professional,Tier_3,"₹4,357.73",₹0.00,"₹1,200.82","₹3,934.21","₹1,457.05",₹707.95,"₹1,377.94","₹2,138.73","₹1,136.43","₹1,983.46",₹747.70,6.81%,"₹1,979.04","₹10,009.49",₹587.13,₹266.19,₹53.31,₹170.87,₹336.01,₹52.18,₹18.42,₹40.39,15.00%
PID_00970,"₹9,550.35",Low,20,2,Retired,Tier_2,"₹1,910.07",₹955.50,₹355.19,"₹1,326.78",₹596.14,₹368.99,₹436.49,₹649.89,₹434.54,₹534.72,₹233.50,7.39%,₹705.60,"₹1,748.53",₹116.69,₹160.61,₹38.85,₹117.30,₹103.12,₹18.15,₹20.67,₹56.71,20.00%
PID_00971,"₹33,237.57",Middle,46,0,Retired,Tier_2,"₹6,647.51","₹4,341.87",₹876.41,"₹4,407.45","₹1,785.91","₹1,328.31",₹902.13,"₹1,465.51","₹1,108.14",₹0.00,₹490.91,5.84%,"₹1,940.16","₹9,883.41",₹445.32,₹376.82,₹222.36,₹149.93,₹361.16,₹54.92,₹0.00,₹107.56,20.00%
PID_00972,"₹17,398.01",Low,31,0,Self_Employed,Tier_2,"₹3,479.60",₹0.00,₹645.28,"₹2,238.06","₹1,249.61",₹544.28,₹666.45,"₹1,003.40",₹783.60,₹0.00,₹497.35,5.07%,₹881.70,"₹6,290.38",₹262.98,₹72.93,₹48.46,₹182.19,₹114.95,₹37.49,₹0.00,₹53.95,20.00%
PID_00973,"₹58,774.74",Middle,30,4,Professional,Tier_2,"₹11,754.95","₹5,607.99","₹2,096.91","₹7,610.29","₹4,428.54","₹1,327.69","₹2,843.94","₹4,297.54","₹1,776.19","₹4,360.81","₹1,217.44",11.93%,"₹7,012.93","₹11,452.47","₹1,371.74",₹390.92,₹191.01,₹149.55,"₹1,227.89",₹33.60,₹24.21,₹319.43,20.00%
PID_00974,"₹17,798.22",Low,36,1,Retired,Tier_3,"₹2,669.73","₹1,484.80",₹476.54,"₹1,838.08","₹1,122.02",₹577.16,₹438.22,"₹1,010.84",₹719.58,"₹1,075.84",₹308.03,9.05%,"₹1,610.25","₹6,077.37",₹408.79,₹161.91,₹137.95,₹90.02,₹294.51,₹27.85,₹21.96,₹64.60,15.00%
PID_00975,"₹20,994.29",Low,42,2,Student,Tier_1,"₹6,298.29",₹0.00,₹430.55,"₹2,395.81","₹1,662.57",₹462.74,₹527.11,"₹1,094.89",₹923.28,"₹1,902.38",₹444.32,5.38%,"₹1,130.33","₹4,852.36",₹643.26,₹480.26,₹121.22,₹145.82,₹107.03,₹37.17,₹75.92,₹130.61,30.00%
PID_00976,"₹6,616.49",Low,27,0,Self_Employed,Tier_1,"₹1,984.95",₹867.27,₹213.10,₹718.03,₹432.93,₹136.09,₹158.69,₹311.07,₹298.15,₹0.00,₹198.26,6.84%,₹452.87,"₹1,297.95",₹103.10,₹57.13,₹27.07,₹25.41,₹73.92,₹3.66,₹0.00,₹46.63,30.00%
PID_00977,"₹20,891.71",Low,32,2,Retired,Tier_2,"₹4,178.34",₹0.00,₹620.38,"₹2,563.91","₹1,374.71",₹826.83,₹582.34,"₹1,525.49",₹635.93,"₹1,756.81",₹332.33,6.78%,"₹1,416.05","₹6,494.63",₹596.90,₹404.24,₹228.18,₹42.58,₹200.14,₹15.22,₹57.56,₹37.17,20.00%
PID_00978,"₹4,314.99",Low,45,1,Student,Tier_1,"₹1,294.50",₹557.14,₹122.91,₹448.21,₹316.90,₹150.18,₹127.99,₹340.42,₹207.95,₹304.04,₹67.76,7.07%,₹305.22,₹377.00,₹101.89,₹30.62,₹38.70,₹30.78,₹56.24,₹2.28,₹11.41,₹4.49,30.00%
PID_00979,"₹8,449.23",Low,57,2,Student,Tier_2,"₹1,689.85","₹1,449.64",₹346.08,₹984.67,₹466.29,₹185.25,₹173.64,₹422.71,₹307.44,₹794.91,₹220.75,7.99%,₹675.01,"₹1,408.00",₹294.86,₹135.09,₹11.05,₹49.23,₹32.66,₹14.20,₹21.94,₹12.73,20.00%
PID_00980,"₹55,120.91",Middle,55,2,Self_Employed,Tier_1,"₹16,536.27","₹8,135.44","₹2,275.59","₹7,925.33","₹3,077.70","₹2,096.10","₹2,547.60","₹4,016.03","₹1,780.16","₹4,763.54",₹776.94,12.49%,"₹1,190.20","₹1,190.20",₹984.19,₹748.94,₹206.47,₹217.45,₹470.92,₹43.35,₹50.73,₹102.09,30.00%
PID_00981,"₹56,251.77",Middle,24,0,Self_Employed,Tier_2,"₹11,250.35",₹0.00,"₹2,688.88","₹5,901.09","₹4,210.29","₹1,447.15","₹2,194.39","₹3,840.39","₹2,745.95",₹0.00,₹927.12,11.38%,"₹6,403.87","₹21,046.15","₹1,536.89",₹690.74,₹429.86,₹212.28,₹260.74,₹50.81,₹0.00,₹237.43,20.00%
PID_00982,"₹42,163.86",Middle,31,0,Self_Employed,Tier_1,"₹12,649.16","₹4,224.33",₹877.99,"₹5,408.24","₹2,169.66","₹1,602.93","₹1,731.29","₹3,085.52","₹1,282.51",₹0.00,₹601.74,12.61%,"₹5,316.71","₹8,530.50","₹1,581.96",₹612.68,₹91.62,₹291.35,₹306.41,₹63.58,₹0.00,₹147.01,30.00%
PID_00983,"₹13,840.74",Low,47,0,Student,Tier_1,"₹4,152.22",₹0.00,₹654.81,"₹1,565.49",₹801.42,₹607.69,₹586.30,₹695.46,₹578.21,₹0.00,₹306.28,6.56%,₹908.21,"₹3,892.86",₹132.52,₹54.81,₹63.21,₹69.42,₹82.58,₹3.05,₹0.00,₹70.17,30.00%
PID_00984,"₹28,876.51",Low,57,1,Professional,Tier_2,"₹5,775.30","₹4,421.94","₹1,161.64","₹3,423.19","₹1,963.78","₹1,185.79",₹631.49,"₹2,246.59","₹1,075.29","₹2,434.31",₹400.15,9.78%,"₹2,823.99","₹4,157.03",₹557.27,₹152.27,₹225.65,₹134.38,₹333.01,₹49.25,₹35.05,₹34.09,20.00%
PID_00985,"₹29,913.66",Low,29,3,Professional,Tier_3,"₹4,487.05","₹2,019.04","₹1,190.11","₹3,439.59","₹2,055.33","₹1,026.64","₹1,473.51","₹2,239.11","₹1,212.21","₹2,889.70",₹352.73,7.81%,"₹2,335.21","₹7,528.65",₹648.29,₹122.87,₹185.21,₹142.57,₹134.72,₹35.81,₹83.61,₹57.35,15.00%
PID_00986,"₹11,875.83",Low,45,1,Professional,Tier_2,"₹2,375.17",₹0.00,₹590.96,"₹1,224.56",₹828.94,₹246.27,₹269.27,₹738.79,₹577.71,₹870.64,₹338.99,5.87%,₹697.53,"₹3,814.55",₹255.97,₹84.96,₹14.05,₹65.64,₹219.17,₹11.80,₹9.26,₹66.21,20.00%
PID_00987,"₹99,874.66",High,31,0,Professional,Tier_1,"₹29,962.40",₹0.00,"₹2,230.50","₹10,332.73","₹7,760.21","₹3,956.57","₹2,427.93","₹4,952.64","₹3,455.06",₹0.00,"₹2,008.38",10.71%,"₹10,697.46","₹32,788.25","₹2,792.75","₹1,922.71",₹855.46,₹373.46,₹287.07,₹24.17,₹0.00,₹284.27,30.00%
PID_00988,"₹60,526.86",Middle,18,4,Professional,Tier_2,"₹12,105.37","₹4,674.52","₹2,669.02","₹7,474.36","₹3,265.03","₹2,963.23","₹2,684.41","₹4,072.67","₹2,626.85","₹5,344.90","₹1,635.80",11.08%,"₹6,704.88","₹11,010.70","₹2,217.95",₹822.67,₹598.85,₹677.39,₹412.54,₹41.28,₹215.46,₹327.33,20.00%
PID_00989,"₹25,139.14",Low,21,2,Professional,Tier_3,"₹3,770.87",₹0.00,₹950.27,"₹3,578.39","₹1,554.01",₹590.26,₹911.07,"₹1,915.52",₹885.97,"₹1,853.82",₹466.11,6.95%,"₹1,748.37","₹8,662.83",₹363.46,₹354.42,₹153.33,₹157.75,₹468.78,₹19.04,₹78.72,₹72.25,15.00%
PID_00990,"₹30,652.25",Middle,35,2,Retired,Tier_2,"₹6,130.45",₹0.00,₹761.75,"₹4,494.26","₹1,735.00",₹711.23,"₹1,282.13","₹1,850.30",₹939.76,"₹2,410.34",₹712.75,9.90%,"₹3,034.00","₹9,624.28","₹1,029.26",₹179.28,₹64.98,₹330.96,₹211.02,₹7.82,₹94.29,₹40.28,20.00%
PID_00991,"₹35,442.22",Middle,53,2,Retired,Tier_2,"₹7,088.44","₹4,888.93","₹1,528.41","₹3,945.32","₹2,640.81","₹1,480.43","₹1,099.72","₹2,395.06","₹1,468.03","₹2,218.14",₹574.41,6.78%,"₹2,402.23","₹6,114.53",₹904.70,₹603.76,₹420.20,₹278.60,₹327.65,₹69.75,₹92.95,₹30.43,20.00%
PID_00992,"₹5,858.01",Low,49,2,Self_Employed,Tier_3,₹878.70,₹782.23,₹180.19,₹848.67,₹328.19,₹246.53,₹131.28,₹303.40,₹204.34,₹577.50,₹124.66,7.10%,₹415.74,"₹1,252.32",₹77.71,₹22.50,₹48.18,₹23.01,₹46.87,₹2.40,₹0.93,₹10.23,15.00%
PID_00993,"₹24,617.45",Low,45,4,Professional,Tier_1,"₹7,385.23",₹0.00,₹678.96,"₹2,520.89","₹1,744.30","₹1,064.22",₹889.17,"₹1,831.69",₹861.13,"₹1,952.48",₹509.71,7.94%,"₹1,953.75","₹5,179.66",₹144.82,₹304.30,₹222.88,₹224.25,₹327.10,₹29.64,₹34.22,₹45.66,30.00%
PID_00994,"₹17,385.04",Low,45,0,Retired,Tier_2,"₹3,477.01","₹2,251.91",₹648.79,"₹2,468.65","₹1,389.10",₹853.04,₹373.46,"₹1,209.24",₹749.91,₹0.00,₹176.39,8.42%,"₹1,464.23","₹3,787.54",₹455.72,₹256.51,₹92.31,₹83.36,₹195.14,₹24.88,₹0.00,₹33.64,20.00%
PID_00995,"₹13,462.41",Low,55,3,Student,Tier_1,"₹4,038.72",₹0.00,₹461.89,"₹1,716.28",₹834.45,₹307.54,₹299.08,₹975.92,₹477.90,₹726.77,₹247.00,7.29%,₹981.89,"₹3,376.88",₹271.30,₹138.47,₹58.57,₹87.70,₹53.63,₹21.48,₹6.69,₹48.68,30.00%
PID_00996,"₹23,958.36",Low,49,2,Student,Tier_3,"₹3,593.75","₹3,477.11",₹592.08,"₹2,499.23","₹1,534.47",₹726.18,₹544.40,"₹1,565.52",₹772.78,"₹1,226.33",₹377.33,6.21%,"₹1,486.76","₹7,049.18",₹443.97,₹220.83,₹92.13,₹69.86,₹91.22,₹22.27,₹50.41,₹98.97,15.00%
PID_00997,"₹126,386.74",High,25,3,Professional,Tier_1,"₹37,916.02","₹9,243.78","₹5,299.62","₹13,125.07","₹7,905.63","₹3,709.76","₹3,429.69","₹7,768.69","₹3,821.19","₹9,015.15","₹3,260.60",18.99%,"₹21,891.54","₹21,891.54","₹1,918.21",₹905.81,"₹1,024.69",₹646.09,"₹1,832.45",₹126.84,₹431.77,₹448.19,30.00%
PID_00998,"₹50,092.52",Middle,42,1,Student,Tier_3,"₹7,513.88",₹0.00,"₹1,470.58","₹5,365.46","₹3,321.78","₹1,349.23","₹1,149.27","₹2,451.32","₹2,109.19","₹4,075.60","₹1,302.83",11.66%,"₹5,838.83","₹19,983.38","₹1,040.33",₹924.27,₹373.28,₹315.05,₹286.48,₹91.19,₹183.01,₹218.55,15.00%
PID_00999,"₹18,996.49",Low,64,1,Retired,Tier_2,"₹3,799.30",₹0.00,₹660.32,"₹1,945.41","₹1,204.76",₹763.96,₹807.47,₹880.13,₹769.44,"₹1,060.77",₹450.50,5.14%,₹975.96,"₹6,654.42",₹379.98,₹153.01,₹51.02,₹71.94,₹181.16,₹25.95,₹14.57,₹101.55,20.00%
PID_01000,"₹47,430.41",Middle,37,2,Student,Tier_1,"₹14,229.12",₹0.00,"₹1,359.49","₹6,419.26","₹3,410.24","₹1,429.40","₹1,958.69","₹2,780.39","₹1,608.91","₹3,865.66","₹1,022.68",14.06%,"₹6,668.97","₹9,346.57","₹1,200.15",₹320.69,₹416.15,₹546.17,₹336.81,₹9.25,₹98.13,₹288.72,30.00%
PID_01001,"₹91,898.23",High,50,0,Professional,Tier_2,"₹18,379.65","₹15,639.89","₹3,051.79","₹12,022.35","₹4,621.46","₹2,219.49","₹2,983.15","₹5,179.70","₹4,223.20",₹0.00,"₹1,672.43",12.25%,"₹11,255.12","₹21,905.14","₹1,543.42",₹611.10,₹358.42,₹793.14,₹438.29,₹190.39,₹0.00,₹345.26,20.00%
PID_01002,"₹62,859.64",Middle,47,4,Self_Employed,Tier_3,"₹9,428.95",₹0.00,"₹1,727.96","₹8,922.04","₹4,029.48","₹2,506.98","₹2,988.77","₹4,376.40","₹2,321.44","₹5,836.19","₹1,852.96",14.48%,"₹9,101.24","₹18,868.47","₹1,427.01",₹324.42,₹126.90,₹519.22,₹904.54,₹25.42,₹47.16,₹410.87,15.00%
PID_01003,"₹31,465.81",Middle,54,2,Self_Employed,Tier_1,"₹9,439.74",₹0.00,"₹1,083.21","₹3,911.15","₹2,116.14",₹791.66,₹703.10,"₹1,481.92","₹1,059.08","₹2,399.86",₹841.36,6.59%,"₹2,072.16","₹7,638.59",₹731.35,₹591.32,₹129.13,₹146.02,₹144.32,₹42.78,₹18.91,₹235.23,30.00%
PID_01004,"₹17,879.38",Low,33,1,Retired,Tier_3,"₹2,681.91",₹0.00,₹443.76,"₹2,309.31",₹910.45,₹826.08,₹628.09,"₹1,178.88",₹884.46,₹995.19,₹447.27,5.59%,₹999.13,"₹6,573.96",₹664.24,₹130.07,₹244.18,₹172.49,₹175.97,₹23.39,₹23.76,₹22.66,15.00%
PID_01005,"₹52,445.58",Middle,42,1,Retired,Tier_2,"₹10,489.12",₹0.00,"₹1,493.82","₹5,621.47","₹2,792.58","₹2,289.54","₹2,581.77","₹2,679.91","₹1,922.37","₹4,608.63","₹1,095.10",10.06%,"₹5,274.90","₹16,871.28","₹1,385.15",₹788.87,₹205.05,₹354.90,₹225.78,₹13.45,₹48.96,₹140.66,20.00%
PID_01006,"₹41,099.08",Middle,55,3,Retired,Tier_1,"₹12,329.72","₹7,451.85","₹1,084.91","₹5,180.60","₹2,519.00","₹1,714.93","₹1,025.79","₹1,938.29","₹1,751.37","₹3,396.87",₹743.04,14.61%,"₹1,962.70","₹1,962.70","₹1,444.46",₹334.78,₹110.37,₹281.90,₹153.86,₹7.15,₹80.51,₹74.55,30.00%
PID_01007,"₹61,396.45",Middle,59,4,Retired,Tier_1,"₹18,418.93","₹7,868.62","₹1,892.63","₹7,106.97","₹3,699.03","₹1,855.48","₹1,930.76","₹3,547.91","₹2,585.25","₹5,854.23",₹662.23,11.50%,"₹5,974.40","₹5,974.40",₹849.00,₹324.69,₹358.92,₹361.53,₹519.83,₹71.37,₹133.22,₹61.82,30.00%
PID_01008,"₹49,865.77",Middle,27,2,Professional,Tier_3,"₹7,479.87",₹0.00,"₹2,239.32","₹6,111.91","₹3,870.29","₹2,030.86","₹1,589.46","₹3,623.80","₹2,263.18","₹3,489.68","₹1,246.58",14.50%,"₹7,231.55","₹15,920.82",₹961.75,₹391.30,₹173.49,₹278.30,₹365.17,₹4.82,₹8.85,₹338.25,15.00%
PID_01009,"₹69,466.15",Middle,22,0,Self_Employed,Tier_3,"₹10,419.92",₹0.00,"₹2,421.69","₹9,852.77","₹3,498.33","₹2,715.62","₹2,067.02","₹3,988.15","₹3,005.01",₹0.00,₹800.07,14.45%,"₹10,035.15","₹30,697.57","₹1,985.14",₹517.84,₹213.26,₹457.23,₹423.63,₹46.76,₹0.00,₹223.73,15.00%
PID_01010,"₹19,550.66",Low,25,3,Self_Employed,Tier_3,"₹2,932.60",₹0.00,₹639.69,"₹2,611.72","₹1,456.69",₹563.98,₹460.59,₹869.79,₹588.02,"₹1,881.30",₹343.87,9.98%,"₹1,950.25","₹7,202.42",₹321.69,₹213.68,₹118.66,₹79.43,₹131.98,₹25.07,₹11.02,₹75.72,15.00%
PID_01011,"₹86,065.84",High,50,4,Professional,Tier_2,"₹17,213.17",₹0.00,"₹3,199.21","₹8,868.51","₹4,442.90","₹1,927.98","₹2,339.01","₹6,387.21","₹3,214.39","₹7,868.43","₹1,047.58",13.81%,"₹11,885.72","₹29,557.46","₹1,007.40",₹471.38,₹163.77,₹187.21,₹812.34,₹6.28,₹175.98,₹155.40,20.00%
PID_01012,"₹35,137.79",Middle,54,3,Student,Tier_3,"₹5,270.67",₹0.00,"₹1,529.83","₹5,198.35","₹2,641.77","₹1,532.00","₹1,126.63","₹1,686.17","₹1,490.92","₹2,285.64",₹787.95,7.57%,"₹2,658.21","₹11,587.86",₹426.95,₹163.40,₹80.45,₹64.08,₹149.33,₹33.30,₹68.44,₹43.13,15.00%
PID_01013,"₹157,812.26",High,18,0,Self_Employed,Tier_2,"₹31,562.45","₹24,101.91","₹4,562.31","₹17,812.65","₹9,957.13","₹3,268.39","₹5,660.15","₹8,137.82","₹7,646.30",₹0.00,"₹4,600.17",16.95%,"₹26,751.46","₹40,502.98","₹4,020.50","₹2,373.16",₹790.17,"₹1,007.82","₹1,482.46",₹70.02,₹0.00,"₹1,218.46",20.00%
PID_01014,"₹17,285.14",Low,48,1,Professional,Tier_1,"₹5,185.54","₹2,989.49",₹764.14,"₹2,125.43","₹1,197.02",₹456.19,₹741.22,"₹1,124.09",₹659.15,"₹1,420.58",₹348.40,6.85%,₹273.89,₹273.89,₹118.40,₹348.95,₹119.44,₹110.35,₹152.62,₹24.19,₹21.52,₹70.72,30.00%
PID_01015,"₹120,297.57",High,24,2,Student,Tier_2,"₹24,059.51",₹0.00,"₹3,306.71","₹14,853.69","₹6,660.38","₹3,492.90","₹4,264.48","₹8,905.91","₹4,691.63","₹6,728.74","₹1,870.42",17.93%,"₹21,563.60","₹41,463.21","₹1,045.40","₹1,818.44",₹429.28,₹463.72,"₹1,033.86",₹140.59,₹234.31,₹96.59,20.00%
PID_01016,"₹35,146.53",Middle,64,2,Retired,Tier_3,"₹5,271.98",₹0.00,"₹1,596.99","₹4,653.89","₹2,599.05",₹834.63,"₹1,091.81","₹2,735.25","₹1,734.52","₹3,325.64",₹977.84,8.96%,"₹3,150.55","₹10,324.93",₹872.70,₹715.82,₹124.52,₹243.69,₹526.89,₹21.53,₹122.27,₹61.48,15.00%
PID_01017,"₹17,815.40",Low,40,0,Self_Employed,Tier_2,"₹3,563.08",₹0.00,₹801.80,"₹2,534.06","₹1,150.97",₹443.34,₹426.08,₹874.51,₹830.55,₹0.00,₹348.41,6.37%,"₹1,133.97","₹6,842.60",₹342.46,₹278.81,₹76.70,₹79.90,₹128.73,₹11.97,₹0.00,₹51.17,20.00%
PID_01018,"₹20,370.52",Low,41,2,Professional,Tier_2,"₹4,074.10","₹3,005.49",₹768.50,"₹2,324.60","₹1,047.24",₹436.22,₹997.97,₹937.98,₹907.46,"₹1,673.97",₹466.11,8.24%,"₹1,679.32","₹3,730.89",₹232.62,₹161.25,₹65.48,₹224.17,₹249.40,₹41.75,₹20.13,₹37.26,20.00%
PID_01019,"₹23,217.81",Low,31,2,Self_Employed,Tier_2,"₹4,643.56","₹2,674.03",₹712.77,"₹2,664.13","₹1,717.25","₹1,136.71",₹745.68,"₹1,730.90","₹1,127.48","₹2,159.89",₹248.39,9.02%,"₹2,093.10","₹3,657.00",₹392.34,₹334.89,₹309.55,₹139.28,₹194.09,₹35.78,₹92.88,₹36.95,20.00%
PID_01020,"₹42,120.31",Middle,40,3,Self_Employed,Tier_2,"₹8,424.06","₹6,422.66","₹1,365.87","₹4,681.00","₹3,042.01","₹1,645.62","₹1,993.78","₹1,882.81","₹1,778.26","₹3,018.40","₹1,207.74",10.10%,"₹4,256.11","₹6,658.10",₹446.49,₹309.26,₹105.40,₹261.58,₹250.68,₹61.56,₹12.72,₹296.93,20.00%
PID_01021,"₹45,579.85",Middle,26,0,Professional,Tier_1,"₹13,673.96","₹8,642.52","₹2,023.32","₹6,289.85","₹3,326.44","₹1,947.96",₹992.94,"₹2,410.75","₹2,129.09",₹0.00,₹805.43,12.32%,"₹3,337.59","₹3,337.59",₹840.71,₹283.40,₹446.84,₹112.24,₹308.35,₹104.29,₹0.00,₹127.75,30.00%
PID_01022,"₹18,958.22",Low,25,3,Retired,Tier_1,"₹5,687.46","₹1,762.80",₹426.01,"₹2,498.92","₹1,216.84",₹584.67,₹878.23,₹955.78,₹703.53,"₹1,119.96",₹402.59,9.72%,"₹1,843.51","₹2,721.42",₹737.14,₹363.74,₹133.87,₹214.58,₹251.07,₹28.14,₹52.05,₹62.09,30.00%
PID_01023,"₹29,421.15",Low,25,2,Student,Tier_1,"₹8,826.34","₹5,006.95","₹1,282.88","₹3,250.75","₹1,486.73","₹1,239.20",₹606.99,"₹1,999.85",₹962.90,"₹2,211.15",₹818.70,5.06%,"₹1,487.50","₹1,728.70",₹342.77,₹351.40,₹103.45,₹46.29,₹399.53,₹29.95,₹18.86,₹236.13,30.00%
PID_01024,"₹166,503.06",High,20,4,Professional,Tier_1,"₹49,950.92",₹0.00,"₹3,995.79","₹20,370.52","₹12,697.11","₹6,239.92","₹5,337.06","₹12,442.58","₹7,191.12","₹9,214.36","₹4,517.17",22.68%,"₹34,546.51","₹34,546.51","₹4,486.60","₹1,342.86","₹1,588.68",₹839.56,"₹2,689.89",₹112.17,₹258.28,₹920.07,30.00%
PID_01025,"₹119,489.91",High,49,4,Student,Tier_2,"₹23,897.98","₹23,850.98","₹5,313.16","₹14,374.57","₹8,249.03","₹5,152.74","₹2,708.90","₹5,894.63","₹4,729.34","₹9,874.62","₹3,059.93",17.84%,"₹12,384.04","₹12,384.04","₹3,082.99",₹537.38,"₹1,076.25",₹665.68,₹295.98,₹2.51,₹52.65,₹684.42,20.00%
PID_01026,"₹42,531.98",Middle,21,3,Professional,Tier_1,"₹12,759.59",₹0.00,"₹2,000.72","₹5,395.94","₹3,261.00","₹1,819.32","₹1,616.99","₹2,019.08","₹1,948.39","₹2,666.65","₹1,187.85",13.53%,"₹5,752.54","₹7,856.45","₹1,285.06",₹394.34,₹267.92,₹182.17,₹540.14,₹55.73,₹91.58,₹170.18,30.00%
PID_01027,"₹30,926.09",Middle,55,1,Professional,Tier_2,"₹6,185.22","₹5,085.26","₹1,094.89","₹4,362.36","₹1,746.67","₹1,227.92",₹958.17,"₹2,071.02","₹1,375.65","₹2,286.91",₹771.56,6.20%,"₹1,916.41","₹3,760.46",₹427.91,₹469.66,₹62.27,₹158.69,₹418.09,₹3.73,₹104.18,₹216.25,20.00%
